sheng,cost,cost2,cost3,a,b,species
AH,4.035797519,7.751017526,11.46623753,3.715220007,4.035797519,NH3
AH,10.67077625,20.49393541,30.31709457,9.82315916,10.67077625,NOx
AH,6.075960438,11.66928609,17.26261174,5.593325652,6.075960438,PPM2.5
AH,4.708301668,9.042606467,13.37691127,4.334304799,4.708301668,SO2
AH,13.97164728,26.83347776,39.69530824,12.86183048,13.97164728,VOC
BJ,5.143575919,9.878579613,14.61358331,4.735003694,5.143575919,NH3
BJ,19.93572058,38.28787715,56.64003372,18.35215657,19.93572058,NOx
BJ,3.62209429,6.956472963,10.29085164,3.334378673,3.62209429,PPM2.5
BJ,8.12485032,15.60431536,23.0837804,7.47946504,8.12485032,SO2
BJ,13.7967906,26.49765386,39.19851712,12.70086326,13.7967906,VOC
CQ,4.501846376,8.646095348,12.79034432,4.144248972,4.501846376,NH3
CQ,9.175075989,17.6213436,26.06761121,8.446267611,9.175075989,NOx
CQ,6.040065935,11.60034831,17.16063069,5.560282375,6.040065935,PPM2.5
CQ,5.553241645,10.66536988,15.77749812,5.112128235,5.553241645,SO2
CQ,12.731833,24.45233197,36.17283094,11.72049897,12.731833,VOC
FJ,4.607417577,8.848851861,13.09028615,4.241434284,4.607417577,NH3
FJ,6.592080151,12.66052832,18.72897649,6.068448169,6.592080151,NOx
FJ,6.22249063,11.95070707,17.67892351,5.72821644,6.22249063,PPM2.5
FJ,4.805828113,9.22991249,13.65399687,4.424084377,4.805828113,SO2
FJ,10.99478089,21.11620787,31.23763485,10.12142698,10.99478089,VOC
GD,4.522792288,8.686323366,12.84985444,4.163531078,4.522792288,NH3
GD,8.843977347,16.98544664,25.12691593,8.141469293,8.843977347,NOx
GD,6.118744901,11.75145649,17.38416808,5.632711589,6.118744901,PPM2.5
GD,5.504508092,10.57177385,15.63903961,5.067265758,5.504508092,SO2
GD,12.1449617,23.32520661,34.50545152,11.18024491,12.1449617,VOC
GS,3.385644909,6.502356201,9.619067493,3.116711292,3.385644909,NH3
