FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
0,0.5,0.5,0.01671956,2.3001241e-05,0.041983802,0.0035053599,0.0045293095,0.56433076,24.031174,7.094845e-05,0.30452847,3.2837017e-06,5.850261e-13,0.046764247,0.08373325,1.0362912,0.023491539,0.017243901,0.093846224,2.6619754
1,1.5,0.5,0.017448964,2.7925236e-05,0.043978952,0.0027574797,0.0044827457,0.5787344,25.019936,7.163537e-05,0.29787117,3.3361925e-06,6.0966347e-13,0.0461196,0.08556347,1.0528197,0.02450318,0.01751206,0.09507578,2.7191033
2,2.5,0.5,0.019544754,4.3288164e-05,0.049548537,0.00034597996,0.0046418724,0.62059855,27.352116,7.979459e-05,0.28494146,3.214145e-06,5.6951606e-13,0.04285696,0.094203606,1.0685942,0.025811672,0.020101804,0.09692362,2.7843795
3,3.5,0.5,0.019744111,3.8092647e-05,0.04621563,0.00026730364,0.0042227674,0.62744486,27.020956,7.81592e-05,0.2825654,3.0310246e-06,5.542204e-13,0.04026268,0.097145356,1.044949,0.026212951,0.024659602,0.09814194,2.7503786
4,4.5,0.5,0.020162512,3.4977016e-05,0.042973313,0.0002516312,0.003920669,0.6475332,26.799458,7.7382814e-05,0.27958217,2.7407812e-06,5.1127483e-13,0.037150364,0.098963395,1.0243503,0.02651958,0.029899616,0.099700555,2.7256513
5,5.5,0.5,0.021151425,3.0416359e-05,0.039029393,0.00023079875,0.0035400365,0.6947133,26.529438,7.600344e-05,0.2913642,2.4337846e-06,4.955655e-13,0.035292886,0.106622815,0.9990966,0.02749256,0.034625735,0.1014042,2.6883664
6,6.5,0.5,0.022339731,2.5385187e-05,0.034690578,0.00021179781,0.0031916846,0.7565023,26.40759,7.458591e-05,0.30243653,2.0231403e-06,4.5435633e-13,0.034037054,0.11291769,0.9784112,0.028737886,0.039986882,0.10338831,2.6725752
7,7.5,0.5,0.023189804,2.1930717e-05,0.031174993,0.00019214058,0.002917656,0.7852408,26.28411,7.321216e-05,0.30326208,1.7159595e-06,3.9552023e-13,0.03170621,0.115571946,0.9596528,0.029992837,0.044772577,0.104863346,2.657368
8,8.5,0.5,0.024036095,1.983449e-05,0.028733077,0.00017705468,0.002731414,0.8026952,26.281082,7.2571056e-05,0.30214858,1.5000849e-06,3.4507382e-13,0.02993958,0.11741713,0.94619375,0.03063146,0.048134554,0.105838045,2.6456003
9,9.5,0.5,0.025143994,1.8722943e-05,0.026917301,0.00016639946,0.0025998016,0.81199485,26.295301,7.193653e-05,0.3007463,1.3529163e-06,3.0445741e-13,0.0285573,0.11957336,0.9344709,0.031247577,0.050866503,0.106568344,2.6362576
