prov,AH,BJ,FJ,GS,GD,GX,GZ,HA,HB,HN,HLJ,HUB,HUN,JL,JS,JX,LN,NMG,NX,QH,SD,SX,SI,SH,SC,TJ,XZ,XJ,YN,ZJ,CQ
AH,0.31050812,3.44571E-05,0.050451703,0.00256148,0.037763564,0.026950515,0.014058154,0.033764166,0.003489897,0.037165985,2.524E-07,0.062909899,0.043270435,6.70451E-05,0.035546417,0.117160722,0.000112753,0.000328261,0.002303119,0,0.01573708,0.002766447,0.004467843,0.032842592,0.006740138,0.00047949,0,0,0.003276358,0.052483697,0.012303586
BJ,0.018146784,0.508296383,0.008206841,0.001786252,0.005966093,0.008606317,0.005296215,0.006144391,0.029607041,0.021325736,3.30634E-05,0.013313069,0.011879076,0.000492516,0.015027414,0.01025052,0.002837432,0.00246827,0.002643335,1.42862E-05,0.02002444,0.010508092,0.007037346,0.012446103,0.004666709,0.062096165,0,0,0.001701864,0.013110487,0.006109796
FJ,4.68098E-05,0,0.449668044,0,0.046522089,0.007247923,0.000477918,0.026062415,0,0,0,3.51748E-05,0.000808454,0,0,0.011913288,0,0,0,0,0,0,0,0,1.04979E-06,0,0,0,0.000192766,0.001229269,8.00807E-05
GS,0.002230255,0.002794527,0.003757878,0.527182246,0.003185409,0.005012101,0.005465582,0.004136514,0.002114179,0.004037116,0.000134923,0.005666234,0.003993136,0.000336051,0.001726992,0.002898907,0.000694836,0.008422454,0.092095894,0.163328322,0.001403153,0.005869568,0.02696834,0.002065493,0.015869589,0.001283087,0,0.000442213,0.004114531,0.00254244,0.008030056
GD,2.00907E-05,0,0.003671481,0,0.489448402,0.073050767,0.002516439,0.132734524,0,0,0,0.000145188,0.005255517,0,0,0.004909405,0,0,0,0,0,0,1.78083E-06,0,0.000187885,0,0,0,0.001559645,0.000337174,0.000488339
GX,0.000104076,0,0.001904243,0.000330618,0.006038318,0.358203435,0.017845147,0.019148038,1.81797E-05,0.000190827,0,0.000408243,0.001277186,0,1.61351E-05,0.000824749,0,3.64665E-06,0.000116267,0,4.75623E-06,0.0001187,0.000366803,0.000209585,0.001065287,0,0,0,0.014861355,0.000490738,0.001845012
GZ,0.000846964,0.000145456,0.007902304,0.005753441,0.009049623,0.019433977,0.477987288,0.015156574,0.000419591,0.00205575,0,0.003037383,0.003431295,0,0.000577825,0.003596138,3.43834E-06,0.000510372,0.003204539,0.00035687,0.000468414,0.001906738,0.005535795,0.001014894,0.020914286,2.27044E-05,0,0,0.092012937,0.002572625,0.022861634
HA,0,0,6.2366E-06,0,0.000728802,0.002731034,0.000414964,0.356260168,0,0,0,0,3.00295E-05,0,0,2.10051E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000600411,0,0
HB,0.095234286,0.192139827,0.038579935,0.01678605,0.024735756,0.035632452,0.029617167,0.029638115,0.656811406,0.133316187,0.001054115,0.058470776,0.048724928,0.00459246,0.071475616,0.047294133,0.024528695,0.02154823,0.022821659,0.00075145,0.111465678,0.09622742,0.05059193,0.058330387,0.033055726,0.284180944,0,0,0.010545974,0.074747608,0.035514319
HN,0.060851771,0.001009786,0.027953255,0.035955304,0.019319359,0.042145257,0.045634854,0.019446393,0.023803868,0.429661099,5.81407E-06,0.119344255,0.074015371,0.000149944,0.036599726,0.042022944,0.000470691,0.004280356,0.027330554,0.001266446,0.03201389,0.050970604,0.085069821,0.036571275,0.055385682,0.00276109,0,0,0.019781609,0.039129752,0.057863738
